id,市町名,親番号,エリア名,エリア説明文,通し番号,緯度,経度,旧エリア名
1,福井市,300001,一乗谷朝倉氏遺跡 エリア,戦国時代に朝倉氏五代が103年間にわたって越前の国を支配した城下町跡。武家屋敷・寺院・町屋・職人屋敷や道路に至るまで町並がほぼ完全な姿で発掘され、国の重要文化財・特別史跡・特別名勝に指定されています。,6,35.997632,136.293101,
2,福井市,300002,越前海岸 北部 エリア,"越前海岸は、福井県敦賀市杉津から、坂井市三国町安島に至る海岸線です。日本海の荒波によって創られた奇岩断崖が続くリアス式海岸で、国定公園にも指定されています。私たちが暮らす福井市越前海岸は、北は東尋坊、南は越前蟹で有名な越前港の間に位置しています。

気づかずに通り過ぎてしまう、どこにでもある海辺の小さな町かもしれませんが、目の前に日本海の広がるこの地には、のんびりと流れる時間があります。恵まれた自然の恩恵を受けた海の幸・山の幸と、豊かな暮らしがあります。ここでの暮らしのひとコマひとコマは、私たちのとっての宝物です。





",7,36.139113,136.0825588,越前海岸 エリア
3,福井市,300003,ガラガラ山キャンプ場 エリア,越前海岸沿いに位置する、自然の恵みをたっぷり吸い込んだ絶好のリゾート地。杉小立の間から真っ青な海を望み、生命感に満ちた緑に囲まれたキャンプ場で、贅沢なアウトドアライフが楽しめます。また、大型犬から小型犬まで自由に遊ぶことができるドッグランも。かわいいワンちゃんと一緒に自然を満喫してみませんか。,,36.00266319,135.9865678,
4,福井市,300004,福井駅前 エリア,"北陸地方の西部に位置する福井県福井市の代表駅。駅を出てすぐにある複合施設「ハピリン」では福井市観光物産館「福福館」やお土産・ギフト専門店「かがみや」など、福井のお食事やお土産が楽しめます。
また西口側の「恐竜広場」では、壁面から飛び出してくるように見える横約7.3m&times;縦約4.6m恐竜トリックアート、壁面にある横約45m&times;縦約10mの巨大な恐竜イラスト、福井で生息していたフクイラプトル、フクイサウルス、フクイティタンの３体の実物大で動くモニュメントがお出迎え！記念撮影スポットとして、恐竜の空間を演出します。付近の商業施設では、多くの恐竜グッズも販売されています。",1,36.061515,136.2224369,
5,福井市,300005,名勝 養浩館庭園 エリア,"養浩館は福井藩主松平家の別邸で、江戸時代には「御泉水屋敷（おせんすいやしき）」と称されていました。庭と密接な関連の基に建造された池の周囲の書院建築の数々と、広大清澄な園池を主体とした回遊式林泉庭園（かいゆうしきりんせんていえん）は江戸中期を代表する名園の一つとして広く知られていました。
福井大空襲で建造物が焼失しましたが、昭和57年に国の名勝に指定されたことが契機となって、文政6年の「御泉水指図」により近年、整備が行われました。現在では、建造物・池だけでなく玉砂利・石組・樹木も四季折々に風趣が漂い、庭園の趣を楽しめます。",4,36.0686158,136.2242662,
6,坂井市,300006,東尋坊 エリア,荒々しい岩肌の柱状節理が延々と1kmに渡って続く勇壮そのものの東尋坊は、国の名勝・天然記念物に指定されています。なかでも岸壁の高さが20メートル以上に及ぶ大地の断崖は勇壮というより壮絶で、日本海の荒波が打ち寄せる姿は恐ろしいほどの迫力です。遊覧船ではライオン岩、ろうそく岩など自然の造形が目を楽しませてくれます。,10,36.2376685,136.1265737,
7,坂井市,300007,芝政ワールド エリア,日本海に面した広大な敷地で数々のアトラクションを楽しめる一大テーマパーク。特に夏にオープンする日本最大級のスケールを誇るプールには関西や中京から多数の観光客が訪れます。季節ごとにマラソンなどのイベントを開催しているほか、オートキャンプ場や屋内イルミネーションなど、年間を通して幅広く楽しむことができます。,12,36.250053,136.178639,
8,坂井市,300008,丸岡城 エリア,丸岡城は、戦国時代の天正4年（1576）に柴田勝家の甥、勝豊によって築かれました。天守（国指定重要文化財）は外観は二層、内部は三階の独立式望楼型天守です。石垣は&rdquo;野づら積み&rdquo;という古い方式で、すき間が多く粗雑な印象ながら排水がよく大雨に崩れる心配がないといわれています。また、とくに春は日本さくら名所100選にも認定された約400本のソメイヨシノが霞ヶ城の別名にふさわしく古城に美しさをそえます。,13,36.152345,136.272103,
9,坂井市,300009,花の駅 ゆりの里公園 エリア,ユリを中心とした夢ある施設で、毎年6月には色とりどりのユリの花が咲き誇り、ユリを愛でるイベント「ゆりフェスタ」が開催されます。園内には、農産物直売「ゆりいち」やレストラン「朝採りたまごダイニング Lily」があり、坂井市のきれいな水で作られた農作物を味わいいただけます。また、夜間にはイルミネーションやプロジェクションマッピングが訪れた人を魅了し、年間通して楽しめる施設です。,14,36.148626,136.188185,
10,坂井市,300010,道の駅みくに ふれあいパーク三里浜 エリア,三里浜で収穫された産地直送の野菜や果実の直接販売、地元の素材を生かした飲食メニュー、そして特産らっきょうの資料館などなど。ドライブに疲れたらちょっと立寄って、フレッシュな自然に触れて心も体もリフレッシュしてください。,15,36.189848,136.139124,
11,あわら市,300011,あわら湯のまち エリア,"福井県の代表的な温泉街。
明治16年の開湯以来、たくさんのお客様をお迎えしてきたあわら温泉は、「関西の奥座敷」と呼ばれるほど風雅な温泉まちです。多くの文人墨客に愛されてきたあわらの風情と情緒は、今もそのもてなしの心の中に生き続けています。
また、源泉が74本あり、旅館ごとに温泉の泉質や効能が異なるのも特徴です。

市内をお得にを楽しみたいときは、「ランチ・スイーツめぐりクーポン」をぜひご利用ください。クーポン券をお買い求めいただくことで、ランチやスイーツ・温泉たまごづくり体験をお楽しみいただける他、日帰り入浴の割引券などもついてきます！",17,36.2256037,136.1941521,あわら温泉 エリア
12,あわら市,300012,金津創作の森 エリア,金津創作の森は、自然とのハーモニーの中で、心を動かし創る喜びを体感する人々のコミュニケーションの場です。季節毎に多彩な企画展を行うメイン施設の美術館アートコアやガラス工房、陶芸・ろうけつ染めなどの創作工房があり、自然の中でアートを楽しめます。,,36.230502,136.261407,
13,あわら市,300013,フルーツライン エリア,"約２００軒の農家が丹精込めて育てた、安全・安心な農産物を毎日提供しています。直売所が位置するあわら市は、県内でも有数の青果物生産地で、シーズンになると、メロン、すいか、梨をはじめ多くの青果物が並びます。その他、地場産の野菜も充実しています。すいかの屋根が目印です。

また、金津創作の森は、自然とのハーモニーの中で、心を動かし創る喜びを体感する人々のコミュニケーションの場です。季節毎に多彩な企画展を行うメイン施設の美術館アートコアやガラス工房、陶芸・ろうけつ染めなどの創作工房があり、自然の中でアートを楽しめます。",18,36.241804,136.205516,JA福井県ファーマーズマーケットきららの丘 エリア
14,あわら市,300014,北潟湖 エリア,「人と自然の共生」をテーマに、北潟湖の自然を生かした公園。高台には四季折々の植物を鑑賞できるグラスハウス、湖畔にはサイクリングロードやボート乗り場があり、自転車やボートの貸出をしています。,20,36.2896807,136.2516565,
15,大野市,300015,越前大野城・城下町 エリア,"織田信長の部将金森長近が築城した越前大野城は、天正4年から4年の歳月を要して完成しました。当時の大野城は、2層3階建ての大天守、2層2階の小天守、二の丸、三の丸があり、外堀・内堀をめぐらし、城を守っていました。石垣は野面積みという工法で積まれており、県指定文化財になっております。現在の城は、昭和43年に再建されたもので、城内には歴代城主の遺品などが展示されています。
現在は気象条件によっては晩秋から春にかけて、大野盆地全体が雲海につつまれ、越前大野城だけが浮かんで見える幻想的な景色が見られることから「天空の城越前大野城」としても注目され、また、続日本100名城に選定されたことから、多くの人で賑わっています。",21,35.986586,136.483062,
16,大野市,300016,道の駅「越前おおの荒島の郷」 エリア,"県内最大級の道の駅が百名山「荒島岳」の麓にオープン。大野産コシヒカリ100％使用した米粉バームクーヘンなど地元産食材にこだわったグルメや新鮮な農林水産物や加工品など地場産品を豊富に揃え、一年を通して購入することができます。
また、アウトドアブランド「モンベル」ショップやカヌーやクライミング体験、レンタサイクルを利用できます。",22,35.9720264,136.5530926,
17,大野市,300017,JR九頭竜湖駅 エリア,JR九頭竜湖駅周辺が「道の駅九頭竜」で、その駅前にある「和泉ふれあい会館」は観光名所やイベント情報、飲食店や宿泊施設など数多くの情報が集まっている施設です。,23,35.90432,136.661864,道の駅「九頭竜」 エリア
18,大野市,300018,六呂師高原 エリア,のどかな牧歌風景の広がる高原一帯には、乳牛が放牧された「奥越高原牧場」、バーベキューもできる「円山公園」、露天風呂が楽しめる「トロン温浴施設うらら館」、乳製品作りが体験できる「ミルク工房奥越前」など、楽しめる施設がいっぱい。アウトドアライフが満喫できるほか、日本一きれいな星空に選ばれた（H17全国星空継続観察・環境省）星が煌く夜空もご堪能ください。,24,36.020161,136.573042,
19,勝山市,300019,スーベニアショップ ラプトル エリア,世界3大恐竜博物館の一つ、福井県立恐竜博物館前の第一駐車場のジオターミナルにあるスーベニアショップラプトル。普段手に入れることができない恐竜のお土産があり、オリジナルのメニューが楽しめるレストランザウルスキッチンも併設されています。,25,36.083927,136.507083,
20,勝山市,300020,道の駅「恐竜渓谷かつやま」 エリア,"令和２年６月２０日オープン！
■カフェレストラン
黒糖とこし餡をオリジナル配合してスッキリとした甘味に仕上げた「水ようかんソフトクリーム」、若狭牛で作るメンチカツを挟む「ラプトルバーガー」は、リッチな食感と香り、あふれる肉汁が自慢です！
■ショップ
勝山市内外のお土産や農産物をはじめ、道の駅オリジナルグッズや恐竜グッズなど多数取り揃えます。
中でも、道の駅限定販売の「勝ち山羽二重」は、口の中に広がる黒糖の味とクルミのアクセントが、やみつきになること間違いなしのイチオシ商品です。",26,36.0712045,136.4791427,
21,勝山市,300021,スキージャム勝山 エリア,"スキージャム勝山は、勝山市の法恩寺山にある西日本最大級のスキー場です。平成5年（1993年）に開業し、初・中・上級全13コ-スのバラエティに富んだコースと、充実した設備のレストハウスや温泉があります。コース全長は、5,800メートルありロングクルージングが堪能できます。ベース標高610メートル、山頂1,320メートルと積雪・雪質とも高い評価を得ています。ビキッズパークではリフトに乗れない初心者や子供の練習をサポートし、ソリ遊び専用レーンも楽しめます。スキー・スノーボードスクール共に質の高いレッスンが好評です。
また、グリーンシーズンは、大自然に囲まれた高原リゾートでバーベキューやパラグライダー、セグウェイ体験、パークゴルフ、ものづくり体験など豊富なメニューのほ楽しむことができます。",27,36.072672,136.555717,
22,勝山市,300022,越前大仏 エリア,"越前大仏（清大寺）は、奈良の大仏を上回る座高17m。その左右に4体の脇侍仏、壁面には1,281体の諸仏が安置されています。この他にも高さ７５ｍを誇る五重塔、絢爛たる九龍壁、日本庭園など訪れた人々を圧倒するスケールです。",28,36.0540529,136.5185328,
23,勝山市,300023,平泉寺白山神社 エリア,"志津原の集落にひっそりと佇み、鳥居の前には樹齢何百年とも知れぬ杉とケヤキの巨木が寄り添う白山神社。
江戸時代後期までは、能が奉納されており、盛んにおこなわれていたことを伝える古い能面、能衣装、小道具などがたくさん残っています。
毎年2月17日に白山神社の拝殿でその当時から使用されていた能面・狂言面を参拝者に公開し、かつての伝統を伝える祝い行事「お面さんまつり」が行われています。",29,36.0435097,136.535803,
24,勝山市,300024,はたや記念館 ゆめおーれ勝山 エリア,"はたや記念館「ゆめおーれ勝山」は、明治38年（1905年）から平成10年（1998年）まで勝山の中堅機業場として操業していた建物を保存・活用したもので、勝山市指定文化財、国の近代化遺産に認定されています。
1階はまちなか案内所を備え、手織り体験やカフェコーナー、総合おみやげ店があり、勝山ならではの味や体験をお楽しみいただけます。2階では「繊維のまち・勝山」の歴史を学ぶことができ、「機屋（はたや）」の建物を活かした臨場感あふれる展示をご覧いただけます。
体験コーナーで出来る手織りコースター体験やまゆ玉クラフト体験は、親子連れに大人気です。その他にも季節限定で様々な体験をすることができます。",30,36.0617763,136.5031408,
25,永平寺町,300025,大本山 永平寺 エリア,"曹洞宗開祖・道元禅師が寛元2年（1244）年開いた坐禅の修行道場。境内には大小70棟余りの建物が並び、特に回廊で結ばれている七堂伽藍は日常の修行に欠かすことのできない大事な建物です。併設の「瑠璃聖宝閣」には、道元禅師筆と伝わる「普勧坐禅儀」（国宝）をはじめとする宝物の数々が展示されています。
2015年にフランスの旅行ガイド本「ミシュラン・グリーンガイド・ジャポン」に２つ星で掲載されました。",34,36.0567754,136.3568759,永平寺門前 エリア
26,永平寺町,300026,道の駅「禅の里」 エリア,"大本山永平寺観光など永平寺町の魅力や周辺観光地の情報を発信し、農産物や加工品を販売する道の駅「禅の里」が平成２８年３月１９日にオープンしました。
特産品販売コーナーでは、上志比ニンニクや五領タマネギなど地場を中心にした野菜約４０～１００種（季節によって変動）、ゴマ豆腐や地酒など約２５０品目を販売しています。また、飲食コーナーではおろしそばなどのメニューをそろえるほか、特産品を使ったジェラートも販売しています。",35,36.0801569,136.3991108,
27,永平寺町,300027,えちぜん鉄道 松岡駅 エリア,えい坊館は「禅と食と酒」を基本コンセプトとした、永平寺町の魅力発信交流施設。『チームラボ』制作のデジタルアート作品「禅文化体感ゾーン」では、光の群鳥が空間を自由無礙に飛び回り、不思議な感覚に。物販コーナーには、特産品の他、町内3酒蔵の日本酒が揃います。,33,36.092447,136.301699,永平寺町 エリア
28,越前市,300028,越前和紙の里 エリア,越前市は、高級手すき和紙の産地として日本一のシェアを誇ります。特に、越前和紙の里として知られる不老（おいず）、大滝、岩本、新在家（しんざいけ）、定友の五つの集落は、総称して五箇（ごか）地区と呼ばれ、和紙業者が軒を並べています。また、この地区には越前和紙の関係資料を数多く展示した「紙の文化博物館」や、紙すきが体験できる「パピルス館」などもあって和紙の里にふさわしい風情を醸し出しています。,36,35.9113745,136.2433773,
29,越前市,300029,越前そばの里 エリア,越前そば発祥の地で「そば打ち体験」にチャレンジ！！モニターを使った丁寧な指導で初めての方でも安心です。お子様もOK、家族で楽しめます。武生でそばといえば、おろしそば。大根おろしを入れたつゆでさっぱりと食べる食べ方は日本でもこの地方だけだとか。打ちたてをすぐに食べられるのも魅力です。ほかにも「水ようかんづくり」体験も可能です。,37,35.905365,136.207247,
30,越前市,300030,タケフナイフビレッジ エリア,"タケフナイフビレッジでは、700年の歴史を持つ「越前打刃物」を製造・販売しています。京都の刀匠「千代鶴国安」から受け継いだ、火造り鍛造・手仕上げの伝統を守りながら、一丁一丁心を込めて生産しています。
12の刃物会社で運営するタケフナイフビレッジには、30名近い職人たちが作業する共同工房があり、常時工場内の見学が出来るようになっています。また、現役の職人から技を学べる体験教室も人気のコンテンツの1つです。
ぜひ、「越前打刃物」の確かな切れ味を体感してみてください！",39,35.8879528,136.2365708,
31,越前市,300031,武生駅 エリア,"武生駅エリアは、伝統工芸のタンス店が並ぶ昔のままの風情を残しています。

また、「ちひろの生まれた家記念館」は、越前市出身の絵本画家いわさきちひろの生家です。本館は当時の趣を随所に残し、2階ギャラリーでは年数会期の企画展を開催しています。また、絵本ライブラリーやミニシアターを備えた別館にはセルフカフェコーナーも併設、ちひろの世界をゆっくり楽しむことができます。",40,35.8998646,136.1668287,ちひろの生まれた家記念館 エリア
32,鯖江市,300032,道の駅「西山公園」 エリア,"西山公園の中腹にある「結びの広場」には、愛の音色を奏でる「結びのチャイム」があります。四角すいのモニュメントにウィンドチャイムが吊るされており、愛のピースに同封されているメダルを、チャイムに投入すれば神秘的な音色が響き、心を癒してくれます。また、この広場は鯖江市街が一望できるビュースポットです。

※愛のピース販売先
公園管理事務所、西山動物園、一般社団法人鯖江観光協会（道の駅西山公園内）",44,35.9487796,136.1804268,
33,鯖江市,300033,メガネストリート エリア,福井県は、国内生産フレームの9割以上のシェアを持つめがねの産地です。その産地ならではのめがねを扱うアンテナショップ。また、純国産フレームや、チタンやプラスティックを材料にしためがね以外の製品の展示販売、糸のこぎりを使って世界でひとつだけの自分のめがねをつくるめがね工房があります。,45,35.9426754,136.198844,めがねミュージアム エリア
34,鯖江市,300034,うるしの里 エリア,"優雅さと堅牢さを兼ね備えた「越前漆器」は1500年以上の歴史を有し、国の伝統的工芸品の指定を受けています。
うるしの里会館では漆器の歴史や製造工程などが見学できます。ショップ内で展示・販売している商品は1,000種類以上あり、産地価格でお安くお買い求めいただけます。また、隣接する職人工房では、伝統工芸士による実演が行われており、作業風景を眼前で見学することができます。その他にも産地ならではのワークショップがあり、絵付け・沈金・拭き漆の体験ができます。（要予約）",46,35.953169,136.273888,
35,池田町,300035,まちの市場 こってコテいけだ エリア,"スタッフとお客様とのふれあいが実感できる小さな町の小さなお店です。
池田町産の野菜、お弁当、お土産物など品数は豊富です。
池田町のお水を使ったミネラルウォーター「ままの水」、後味すっきりなご当地サイダー「いけソーダ」はお土産としても人気です。
村の食堂では、池田町の食材を使ったランチも楽しめます。",47,35.8929378,136.344918,
36,池田町,300036,ツリーピクニックアドベンチャーいけだ エリア,池田町の志津原エリアの山林にある日本最大級の冒険の森。鳥の視点で大空にはばたく全長約1kmの「メガジップライン」、樹上を空中散歩できる「アドベンチャーパーク」、足羽川の源流を下る全長2.1kmの「アドベンチャーボート」など、木に触れ、森を飛び、川と遊ぶ多彩なプログラムが満載です。冬は白銀の森の上を飛ぶジップラインなどが楽しめます。体験は予約制。,,35.8624071,136.3672554,
37,池田町,300037,かずら橋 エリア,"樹木の生い茂る足羽川渓谷にかかる橋で、全長44m・幅1.8m・高さ12mの全国的にも珍しいカズラのつり橋です。独特の揺れもあってスリル抜群。この橋の上で愛を誓うと永遠に幸せになれると言われています。

また、付近の「ツリーピクニックアドベンチャーいけだ」は、池田町の志津原エリアの山林にある日本最大級の冒険の森。鳥の視点で大空にはばたく全長約1kmの「メガジップライン」、樹上を空中散歩できる「アドベンチャーパーク」、足羽川の源流を下る全長2.1kmの「アドベンチャーボート」など、木に触れ、森を飛び、川と遊ぶ多彩なプログラムが満載です。冬は白銀の森の上を飛ぶジップラインなどが楽しめます。体験は予約制。",48,35.8607631,136.3658561,
38,越前町,300038,道の駅「越前」 エリア,観光の玄関口として、広域観光のゲートウェイを担うほか、町内、県内の特産品等のアンテナショップ、観光案内カウンター等が設置されており、越前加賀海岸地域の道路情報等を提供するとともに、越前温泉露天風呂「漁火」「越前がにミュージアム」もあり、漁・農・商工連携による情報拠点となります。,49,35.9198337,135.9973581,
39,越前町,300039,道の駅「パークイン丹生ヶ丘」 エリア,福井県の主要道路である北陸自動車道、国道8号と越前海岸を走る国道305号との重要な連絡路である国道417号沿いに位置し、福井総合植物園（プラントピア）をアピールし、長い歴史や豊富な文化財などの観光資源の情報を、一堂に集めた、休憩、憩いの場です。,50,35.969486,136.119506,
40,越前町,300040,劔神社 エリア,劔（つるぎ）神社は、1800年の歴史を有し、毎年多くの初詣客でにぎわう神社としても知られています。戦国武将織田信長の祖先は、当社の神官で、出身地の地名を取って「織田氏」を名乗ったとされます。本殿は県の指定文化財に、梵鐘は国宝に、また秋に奉納される太鼓「明神ばやし」は、県の無形民俗文化財にそれぞれ指定されています。,51,35.957828,136.055395,
41,越前町,300041,越前陶芸村 エリア,広大な陶芸公園の各所に桜が植えられているため、見ごろの時期には公園内どこでも桜を眺めながら散策できます。４月中旬には「越前陶芸村しだれ桜まつり」、５月下旬には「越前陶芸まつり」などイベントも多く開催されます。,52,35.9337134,136.0618452,
42,越前町,300042,越前海岸 越前岬 エリア,越前町の最北部にあり、日本海に突き出た断崖で、海食作用によってできた岩礁が多く見られる景勝地です。近くには、玉川観音をまつった海食洞や浸食作用によってできた呼鳥門、鳥糞岩などがあり、多くの観光客が訪れます。,53,35.9876979,135.9632842,越前岬 エリア
43,南越前町,300043,道の駅「南えちぜん山海里」 エリア,"南えちぜん山海里は、こだわりメニューでおもてなしするオープンキッチン7店舗の飲食エリアと、地元農産物や北陸のお菓子類、県内の商工会が推奨するお土産や工芸品の物販エリア、滑り台でキッズプレイルームと屋外公園を接続するキッズエリアでお客様を迎えます。
旅の一休みや観光の出発点として道の駅南えちぜん山海里に遊びにきねの！",58,35.8316371,136.2014039,
44,南越前町,300044,北前船主の館 右近家 エリア,国道305号線沿いに、当時の栄華を偲ばせる見事なたたずまいを見せながら、「北前船主の館・右近家」があります。全盛期には約30余隻を有した右近家の繁栄ぶりは、上方風切妻造瓦葺二階建の邸宅をはじめ、贅を尽くした西洋館などに見ることができます。,59,35.826251,136.068248,
