id,市町名,親番号,エリア名,エリア説明文,通し番号,緯度,経度,旧エリア名
45,南越前町,300045,今庄宿 エリア,町並は今もなお、昔の面影を残し、素朴な雰囲気を漂わせています。角を曲がって路地裏に足を踏み入れると、そこはもう時代劇の宿場町、タイムスリップ気分が味わえるはず。,60,35.773168,136.198775,
46,敦賀市,300046,日本海さかな街 エリア,"敦賀に来たら、やっぱりさかな街！
敦賀港直行の魚介が並ぶ鮮魚店をはじめ、水産加工の店、特産品の専門店や飲食店など、約70店舗が軒を並べる、日本海最大級の魚市場。意外と知られてないのが、開店から正午まで行われている毎朝恒例の朝市。この時間を利用すれば、お得に新鮮な魚介を購入することができます。",61,35.634573,136.049895,
47,敦賀市,300047,神楽通り エリア,"新しいお店から老舗店まで、約30店舗の商店が並ぶ、敦賀まつりのメイン通りです。
",62,35.654399,136.072876,氣比神宮 エリア
48,敦賀市,300048,JR敦賀駅前 エリア,福井県敦賀市にある、JR西日本北陸本線の駅です。2024年春には北陸新幹線の金沢 - 敦賀間が開業予定！,63,35.645077,136.075958,
49,敦賀市,300049,金ヶ崎 エリア,後醍醐天皇の皇子を守って新田義貞が足利軍と戦った地で、戦国時代には、織田信長の越前朝倉攻めの折、窮地を救った豊臣秀吉の殿（しんがり）の地として知られ、金ヶ崎城跡は国の史跡に指定されています。,64,35.666733,136.064667,
50,敦賀市,300050,敦賀市立博物館 エリア,建物は昭和２年に郷土の偉人・大和田荘七が建てた旧大和田銀行本店です。国の重要文化財に指定されており、当時の敦賀港の繁栄を象徴する豪華なつくりで、北陸で最初のエレベーターや大理石のカウンター、見上げるほどの大金庫など建物そのものも見所満載です。,65,35.656539,136.06875,
51,小浜市,300051,道の駅「若狭おばま」 エリア,"小浜市初となる道の駅「若狭おばま」は小浜市の玄関口として、観光やイベント等の様々な地域情報を発信すると共に観光客の皆さまを市内へと案内し、地場産農林水産物や市内特産品、地場産食材を召し上がっていただけます。
物販施設には、若狭小浜名産品の「若狭塗箸」小浜名物「鯖の醤油干し」「浜焼き鯖」「へしこ」「ささ漬け」などの加工魚類、お土産品、新鮮野菜など取りそろえています。

営業時間　9:00～18:00

※新型コロナウィルス感染状況により、営業時間等が異なる可能性があります。
公式HP等でご確認ください。",68,35.491972,135.763087,
52,小浜市,300052,小浜 エリア（宿泊施設）,"若狭湾に抱かれた小浜市は、リアス式の海と自然豊かな山に囲まれ、四季折々に彩られた景色が楽しめます。海沿いには、民宿のある集落が点在しています。

また、小浜市の重要伝統的建造物群保存地区には、古くから残る古民家をリノベーションし、若狭・小浜の歴史ある町並み、一棟貸しの古民家宿「小浜町家ステイ」を展開しています。",69,35.491678,135.7341283,小浜町家ステイ エリア
53,小浜市,300053,若狭フィッシャーマンズワーフ エリア,"若狭フィッシャーマンズ・ワーフでは、日本海が誇る奇岩の名勝「蘇洞門（そとも）」をめぐるクルージングを楽しめるほか、海を眺めながら食事を堪能できるレストランや、若狭の土産が手に入るお土産コーナーがあります。
また、鮮度抜群の握り寿司や刺身定食などが味わえる食事処「海幸苑」や、食事＆テイクアウトの「とれとれ寿司」（朝から営業するので朝食に利用も可能）、冬期限定で、若狭牡蠣（わかさがき）を蒸し牡蠣、焼き牡蠣で味わう牡蠣小屋も営業しています。",70,35.500243,135.740114,
54,小浜市,300054,御食国若狭おばま食文化館 エリア,"御食国若狭おばま食文化館には、食にまつわる歴史・文化や伝承料理などを展示する「ミュージアム」、郷土料理などを作り味わう「キッチンスタジオ」、
若狭塗箸など伝統工芸体験ができる「若狭工房」、癒しを提供する「濱の湯」があり、若狭おばまの魅力を満喫できます。",71,35.501375,135.737724,
55,小浜市,300055,福井県立若狭歴史博物館 エリア,若狭地方の豊かな歴史や民族文化をわかりやすく紹介しています。この地域のガイダンス拠点として、各地見学のための基礎情報が得られます。,,35.4841384,135.7850016,
56,小浜市,300056,小浜市まちの駅 エリア,"福井県内で唯一現存する明治期の芝居小屋「旭座」を移築復原。観光案内・物販、休憩施設等と併せ、小浜西組重伝建地区へのまち歩き観光拠点になります。
落語を含めた様々なイベントが定期的に実施されています。",72,35.4953026,135.7415527,
57,小浜市,300057,明通寺 エリア,"うっそうと繁った杉木立に囲まれて、ひっそりと木洩れ日を浴びながら、しかも威風堂々としてたたずむ国宝の本堂と三重塔をもつ明通寺。JR東小浜駅から５km離れた、松永川の上流、カジカの声がする幽谷にあり、藤原時代の仏像4体は、重要文化財に指定されています。

また、若狭歴史博物館は、若狭地方の豊かな歴史や民族文化をわかりやすく紹介しています。この地域のガイダンス拠点として、各地見学のための基礎情報が得られます。",73,35.4537273,135.8044453,
58,小浜市,300058,箸のふるさと館WAKASA エリア,"お箸のふるさと館WAKASAは、木地、製造、販売で形成される協同組合のいわばショールーム。3000種類ものお箸が展示即売されています。
昔ながらの手法で丹念に作り上げられた逸品から、現代のモダンな食卓に応じた斬新なデザインのものまで、じつに多彩なお箸が勢ぞろい。ここならライフスタイルに合ったお気に入りがきっと見つかります。
さらに8月4日（箸の日）は全品50％引き。家族分はもちろん、おもてなし用やお土産用とまとめ買いのチャンスです！",74,35.522329,135.751469,
59,美浜町,300059,レインボーライン エリア,美浜・若狭町にかけてひろがる、11.24㎞の有料道路です。第一駐車場からリフト・ケーブルカーで上った先にある山頂公園は、名勝三方五湖・若狭湾が一望できる360&deg;パノラマビュー！足湯やソファーテラスなどの5つのテラスからの眺望は、まさに絶景！お好きな特製ランチボックスやスイーツと一緒にお楽しみください。,77,35.601189,135.8688963,
60,美浜町,300060,若狭海遊バザール 千鳥苑 エリア,若狭の海が目の前に広がる、絶景の若狭海遊バザール千鳥苑が海の駅としてリニューアルしました。食事処、みやげコーナーの他、若狭地域の魅力を伝える観光案内所、あし湯も備えます。若狭湾を見ながら、季節・天候を問わずバーベキューを楽しめる「海鮮千鳥」も併設。,78,35.6217621,135.9672486,
61,美浜町,300061,JR美浜駅 エリア,"創業15年 福井県美浜町 国道27号線沿いにドライブインとしてご愛顧いただきました五湖の駅が&ldquo;九十百千 KOTOMOCHI&rdquo; として生まれ変わりました。
豊かな食文化が生まれた美浜から自然を感じられるふくこむぎを使用した自家製うどんや地産の米を毎日釡で炊き上げる自慢のおむすびなど食と文化を体感ください。

また、平成21年春に開館した若狭国吉城歴史資料館は、戦国時代の山城である国吉城址と、その城下町として造られた佐柿の歴史的な町並みをご紹介する資料館です。",79,35.602293,135.927699,五湖の駅 エリア
62,若狭町,300062,熊川宿 エリア,"熊川の宿は、若狭から京都を結ぶ重要な宿場で、特に天正17年以来発展を続けました。奉行所・番所・お蔵屋敷の跡が残り、情緒あふれる街道沿いには、昔ながらの用水路が流れています。豊臣時代から藩政末期におよぶ古文書・御用日記なども保存されています。熊川宿は、重要伝統的建造物群保存地区に選定され、往年の繁栄を偲ぶ町並みが保存されています。
平成２７年に熊川宿を含む鯖街道が「～御食国若狭と鯖街道～」として日本遺産に認定されました。",81,35.440661,135.906112,
63,若狭町,300063,道の駅「三方五湖」  エリア,低い山々の谷間にちりばめられた三方湖、水月湖、菅湖、久々子湖、日向湖の5つの湖がかもしだす微妙な色あいは神秘的です。全長11.2kmのレインボーライン（有料道路）からその違いがよく分かり、五湖と日本海のダイナミックな景観が楽しめます。また2005年11月にはラムサール条約湿地に登録されています。,83,35.5599235,135.8938529,三方五湖 エリア
64,おおい町,300064,うみんぴあ大飯 エリア,海のみえるフードコート、観光案内所、産地直送の野菜やおおい町の特産、加工品などが数多く並び観光相談、休憩やお食事、お土産選びに最適です。地元の食材を使った海鮮丼やジェラートが人気。,84,35.4813902,135.6280444,
65,おおい町,300065,若州一滴文庫 エリア,"若州一滴文庫は、作家水上勉氏が主宰されている若州人形座の拠点として、また宗教･美術・文学などの資料を展示する施設として昭和60年に開設されました。
「若州一滴文庫」という名称は、おおい町大島出身の儀山善来（ぎさんぜんらい）和尚の「曹源一滴水（そうげんいってきのみず）」という「一滴の水も粗末にするな」という和尚の思想に感銘を受け、付けられました。

また、きのこの森は、特産品のきのこをモチーフにしたテーマパーク。シンボルのきのこタワーは高さ30ｍの展望台をシースルーエレベーターで一気に上昇、爽やかな風と自然豊かな眺望が楽しめます。
広々とした芝生広場、全長460mのビッグスライダーや人工芝のソリ用ゲレンデなど子供が大満足の遊具が充実しています。
また、きのこものしり館では世界の珍しいキノコの展示や特産のしいたけ栽培の様子が見学できます。この他、陶芸館では陶芸体験、きのこロードではキノコ観察や自然散策も楽しめます。",85,35.4647301,135.6073998,きのこの森 エリア
66,おおい町,300066,名田庄 エリア,"おおい町暦会館は、校倉造りで昔の天文器具や古い時代の暦など、暦に関する資料が見られるユニークな資料館です。

また、道の駅名田庄は、道の駅グランプリ2000でデザイン賞を受賞。物産館には地元や近隣の特産品が並びます。名田庄特産の自然薯を使った、ここでしか食べられない自然薯ジェラートをぜひご賞味ください。",86,35.394641,135.584252,道の駅「名田庄」 エリア
67,おおい町,300067,赤礁崎オートキャンプ場 エリア,美しい&rdquo;若狭湾&rdquo;を目の前に、潮騒の音に目覚め、星空の下で楽しいバーベキューを満喫できるキャンプ場です。ゆったりとったオートキャンプ場は80区画。別荘気分が味わえる2階建てのログハウスが10棟、ケビンが14棟、炊事場、シャワー、水洗トイレ、コインランドリーなどを完備したサニタリー棟も8ヘクタールのサイト内に4ヶ所設けています。,87,35.532753,135.66513,
68,高浜町,300068,道の駅「シーサイド高浜」 エリア,"【物産コーナー】
高浜町や福井県のおみやげ品をはじめ、水産加工品などの特産品や産直野菜なども取り揃えています。
鯖のへしこ・羽二重餅・源六餅・小鯛ささ漬け・焼鯖寿司・杜仲茶・梅干し・若狭漬け・味噌・千成屋醤油・自然薯そば・産直野菜・水産加工品など様々なおみやげ品が揃います。
【レストラン】
麺とスープにこだわったラーメンを中心に、お子様からご年配のお客様まで幅広いニーズに沿ったメニューをご用意しております。
【情報コーナー＆休憩所】
24時間開放併設のトイレともに24時間ご利用いただけます。休憩施設内wi-fi使用可。
【温浴施設「湯っぷる」】
道の駅「シーサイド高浜」内にある温浴施設です。",88,35.489068,135.595498,
69,高浜町,300069,青葉山ハーバルビレッジ エリア,「薬草の宝庫」である青葉山の麓にあるハーバルビレッジは、 薬草に特化した「食」や、薬草茶づくり体験など、おいしい空気と薬草で楽しみながら健康になれる場所です。,,35.4977881,135.4986444,
70,高浜町,300070,若狭高浜 エリア,"UMIKARAは、漁港と隣接した立地条件を存分に生かし、毎日、水揚げされた新鮮な魚介をお客様に提供します。魚介を使ったお惣菜、加工品などもバラエティ豊かに取り扱い、毎日のお買い物から旅行のおみやげ選びまで。魚とともに歩みはじめるUMIKARAに、どうぞご期待ください。

また、青葉山ハーバルビレッジは「薬草の宝庫」である青葉山の麓にあるハーバルビレッジは、 薬草に特化した「食」や、薬草茶づくり体験など、おいしい空気と薬草で楽しみながら健康になれる場所です。",90,35.4864767,135.5472519,UMIKARA エリア
72,福井市,300072,福井駅前 エリア（宿泊施設）,"福井駅前には、ホテルを中心にビジネスホテルや旅館など、多様な宿泊施設があります。駅前には、JR福井駅やバスターミナル、タクシー乗り場などがあり、アクセスの便利さが魅力です。また、周辺には多数の飲食店やショッピング施設があり、観光やビジネスの拠点としても最適です。
福井駅前の宿泊施設は、ビジネスマンから観光客まで幅広く利用されており、それぞれの施設が特色あるサービスを提供しています。福井駅周辺を拠点に、福井の観光名所やビジネススポットを訪れる際には、ぜひ宿泊施設の選択肢として考えてみてください。",2,36.0619374,136.2242407,
73,福井市,300073,北ノ庄 エリア,"柴田勝家は織田信長から49万石を与えられ、数年の歳月をかけて築かれたと言われています。天正11年(1583)、豊臣秀吉の軍に攻められた勝家は、自ら城に火を放ち、妻で織田信長の妹のお市や一族とともに壮絶な最後を遂げました。同時に北庄城（きたのしょうじょう）もわずか8年という短い命をとじたのです。現在、柴田神社には柴田勝家の像をはじめ、北庄城の唯一の遺物や鬼瓦、勝家の時代に造られた半石半木の奇矯、九十九橋に使われたという石柱、九頭竜川に掛けられた舟橋をつないだ鉄鎖が大切に保存されています。

柴田勝家・お市の墓所もここから徒歩圏内(約1km)にある西光寺にあります。",3,36.0602742,136.2196378,
74,福井市,300074,ふくい鮮いちば エリア,"知る人ぞ知る穴場
福井市の近郊にある「福井中央卸売市場」内の関連商品売り場棟。常時開放で朝獲れの地場産鮮魚がその日に買える。

新鮮な素材を使ったお総菜や個性豊かな飲食店が並び、飲食店には行列もできるほど。

",5,36.0894191,136.2464432,
75,福井市,300075,大安禅寺 エリア,"万治元年(1658)に第4代福井藩主・松平光通が、当時の高僧・大愚禅師に帰依して建てた臨済宗妙心寺派の寺で、歴代福井藩主の菩提寺として知られ、現在も、当時そのままの姿をとどめています。数百点にもおよぶ文化財が保存され、本堂裏には門に葵の紋を配し、笏谷石1,360枚の石畳みと高さ3ｍを超す墓石がズラリと並ぶ&rdquo;千畳敷&rdquo;と呼ばれる、歴代福井藩主が眠る松平家の墓所があります。また、境内の花しょうぶ園では6月に花しょうぶ祭が開催され、数十万株の花しょうぶを愛でることができます。",8,36.1021006,136.167833,
76,坂井市,300076,三国湊 エリア,江戸から明治にかけて北前船交易で隆盛を極めた三國湊町。今も格子戸が連なる町家、豪商の面影など、情緒あるレトロな町並みが残ります。三國湊の古い町並みには歴史と魅力が溢れており、ボランティアガイド「きたまえ三国」による散策ガイドや三国湊きたまえ通りにある三国湊町家館ではレンタサイクルの貸出しも行っていますので、往時の繁栄の面影を辿る、レトロな町並み散策をしてみませんか。,9,36.21432,136.149227,
77,坂井市,300077,越前松島水族館 エリア,見て・触れて・楽しく学べる、体験・体感型の水族館。イルカショーやペンギンの散歩などの楽しいアトラクションの他、サメや巨大なタコ・ドクターフィッシュなどに触れたり、ウミガメや海の魚に餌を与えることができます。また、水面がガラス張りの珊瑚礁水槽の上を歩けたり、水中トンネルのある「ペンギン館」も大好評です。アザラシやカワウソ、マンボウも展示しています。,11,36.2529452,136.1470583,
78,あわら市,300078,JR芦原温泉駅 エリア,"人がつながり、まちへの流れを創る、ひと・もの・情報・賑わいの結節点。

本施設は福井県の北の玄関口にふさわしい賑わい交流拠点として、利用者の利便性の向上を図るとともに、市民に親しまれ、市民と観光客が集い、ともに憩える施設です。

",16,36.2146778,136.2346674,
79,あわら市,300079,波松 エリア,"福井県・あわら市にある「なみまちCAFE」は、波松小学校に併設されていた幼稚園を改装してできたカフェです。
波松で収穫されるフルーツや野菜をふんだんに使った「ここでしか食べられない」おいしくって、クセになるお料理とデザートを提供しています。",19,36.2633343,136.2015832,
80,永平寺町,300080,えちぜん鉄道 永平寺口駅 エリア,"大本山永平寺へのサイクリングも可能。
国の登録有形文化財となっている旧駅舎の雰囲気を採り入れた、白を基調とした洋風デザインの駅舎。駅前に建つ旧京都電燈古市変電所（レンガ館）と共に整備され、どちらもフォトスポットとしても人気です。",31,36.0968698,136.3261945,
81,永平寺町,300081,九頭竜川 エリア（鮎・釣り）,九頭竜川中部漁業協同組合はサクラマスの聖地、アユの友釣りが盛んな北陸福井、九頭竜川の漁協です。最新の釣り場の様子や釣果をお知らせします。,32,36.0924825,136.2984488,
82,越前市,300082,北陸新幹線 越前たけふ駅 エリア,"道の駅 越前たけふは、北陸新幹線の新駅「越前たけふ駅」に隣接した施設です。「福井」と言えば「海鮮が美味しい！」とイメージされる方が多く、地元鮮魚店が運営管理する当道の駅は、多くの方から注目されています。交流広場（道の駅敷地内）では道の駅で買った鮮魚やお肉・産直野菜をその場でBBQすることができます。また車中泊やキャンプなどにもご利用いただけます。

■物販販売所
天井が吹き抜けになっている広々とした物販エリア。越前市ふるさと納税の返礼品で好評をいただいている新鮮な「かに」や「まぐろ」など鮮魚を多数販売しております。また、県内産の「いちほまれ」や市内産トマト「紅しきぶ」を使ったお菓子を企画・開発しています。

■お食事処
越前市ならではの「かに」や「鮮魚」、「そば」などを使ったお食事処を多数ご用意！そのほか、ボルガライスやソースカツ丼といった福井県のB級グルメもラインナップしています。
?海鮮レストラン越前丸松
?寿司割烹丸松
③そば処 越前屋
④一乃松
⑤和すいーつ あうん

■越前たけふ　観光案内所
越前たけふ観光案内所では、越前和紙・打刃物・箪笥の3つの伝統的工芸品の産地情報をはじめ、市内の見どころや体験、美味しいもの、お土産などを紹介。さらに1年後の北陸新幹線・越前たけふ駅開業に向けて、近隣市町を含めた広域の観光情報を発信します。重厚なつくりの越前箪笥のカウンターは、案内所開設のために市内の伝統工芸士たちに特別にしつらえていただいたものです。（福鉄高速バスチケットセンターも併設）",38,35.8950914,136.1979483,
83,越前市,300083,紫式部公園 エリア,平安時代の文学者・紫式部は、若き日の約1年半を武生で過ごしています。越前市の紫式部公園には、12単衣をまとった金色の紫式部像と、平安朝式庭園が精密な時代考証のもとに設けられています。,41,35.8902936,136.1566222,
84,越前市,300084,だるまちゃん広場 エリア,毎秋「たけふ菊人形」の会場となる公園。絵本作家かこさとしさんの監修で整備、「だるまちゃん広場」は子どもたちに大人気です。,42,35.8998757,136.1588343,
85,越前市,300085,刃物の里 エリア,南北朝時代の刀匠千代鶴国安から始まる700年の越前打刃物の歴史や、各工房で製作している包丁を展示しており、打刃物についていろいろ知ることができる施設です。また、越前打刃物を使った料理教室等のイベントを毎月実施するとともに、週末(不定期)には職人の匠の技を学ぶことができます。(日程はHPまたは事前に電話でご確認ください),43,35.8761095,136.1465563,
86,越前町,300086,越前漁港 エリア,小型底引き網船を40隻以上保有する、福井県最大の港。,54,35.9577918,135.9776215,
87,越前町,300087,越前海岸 茂原民宿街 エリア,越前海岸 茂原民宿街 エリアの宿一覧は下記のとおりです。,55,35.9110621,135.9968663,
88,越前町,300088,越前海岸 高佐米ノ旅館街 エリア,越前海岸 高佐米ノ旅館街 エリアの宿一覧は下記のとおりです。,56,35.9047581,135.9980478,
89,越前町,300089,越前海岸 くりや旅館街 エリア,越前海岸 高佐米ノ旅館街 エリア一覧は下記のとおりです。,57,35.9300711,135.9987173,
90,敦賀市,300090,水島 エリア,"敦賀半島の先端に浮かぶ小さな島で、まわりは遠浅の砂浜と岩場に囲まれており、透明度抜群の青い海でおもいっきり夏を満喫できます。

渡し船は7月9日（土）～8月21（月）まで毎日運航。※荒天時、運航中止(欠航)する場合あり。

JR敦賀駅からコミュニティバス「常宮線」で「色ヶ浜」下車、徒歩3分/北陸自動車道敦賀ICから車で約40分
&rArr;渡し船で水島へ

＜渡し船＞(予定)
●色ヶ浜&hArr;水島、浦底&hArr;水島
9:00～14:30ピストン運行 所要時間約5分

●敦賀営業所&hArr;色ヶ浜
1日1往復 往路 8:00/復路 16:00 所要時間約30分",66,35.7305328,136.0350625,
91,小浜市,300091,小浜市 阿納 エリア,小浜市 阿納 エリアの宿泊所は下記のとおりです。,67,35.5344138,135.7854686,
92,美浜町,300092,水晶浜 エリア,県内外から海水浴客が訪れる海水浴場。砂粒が細かく、きらめく白い砂が特長。早朝からウィンドサーフィンなどのマリンスポーツを楽しむ人々も訪れるスポット。,75,35.7132484,135.9706484,
93,美浜町,300093,美浜町レイクセンター エリア,"美浜町レイクセンターの施設内にはカフェを併設し、ジビエなどの地元食材を活かしたホットドッグを提供。施設には他にも、久々子湖(くぐしこ)を眺望できる屋外デッキや三方五湖(みかたごこ)を周遊するためのレンタサイクルステーション、キッチンカーの出店も可能な「賑わい広場」があります。

また、国内初となる再生可能エネルギーを活用した｢電池推進遊覧船｣が、2023年4月12日から運航を開始し、四季折々の彩りを見せる三方五湖(みかたごこ)を湖面から楽しむことができます。

環境にやさしい遊覧船で、四季折々の彩りを見せる三方五湖(みかたごこ)を湖面から楽しんでみませんか。",76,35.6140749,135.9043251,
94,美浜町,300094,新庄 渓流の里 エリア,家族や友だちと一緒につかみ取り、釣りやバーベキューを楽しめます。初心者でも簡単に釣ることができ、釣った魚をその場で炭焼きで食べることもできます。新緑・紅葉、澄んだ水、あふれる太陽の下で日常を忘れてのんびりとしたひとときを過ごせます。新鮮な空気に包まれて美しい自然と新鮮な味覚を心ゆくまでお楽しみください。,80,35.5299931,135.979112,
95,若狭町,300095,湖上館パムコ（水月湖）エリア,若狭の宿泊施設・ドライブインは下記のとおりです。,82,35.5878697,135.8641134,
96,高浜町,300096,若狭和田 エリア,若狭和田の観光施設・ビーチは下記のとおりです。,89,35.4899731,135.5893287,
